{2, 6, 14.416875, 531.9697222222222, 0., 517.5111805555556, 8, 93, 0, 4, 1, 6, 0, 2, 8, 32, 212, 48, 610, 7}
{2, 6, 11.957060185185185, 642.198125, 0., 630.1993981481481, 2, 12, 0, 6, 0, 3, 0, 3, 2, 5, 21, 13, 57, 8}
{1, 4, 454.38846064814817, 1342.107962962963, 22.915370370370372, 910.6348726851852, 236, 334, 1, 2, 26, 42, 0, 1, 25, 1359, 2110, 2423, 3456, 1}
{2, 13, 141.715625, 978.0717476851852, 17.156655092592594, 853.5127777777777, 266, 1000, 1, 2, 5, 7, 0, 2, 56, 1205, 4889, 2403, 8245, 3}
{1, 4, 1.366847814*^9, 161.6991550925926, 387.1802314814815, 0., 225.43940972222222, 38, 40, 0, 2, 6, 7, 0, 1, 3, 81, 86, 225, 232, 5}
{5, 34, 289.8672222222222, 573.14625, 0., 283.2790277777778, 19, 63, 0, 9, 2, 3, 0, 1, 7, 51, 108, 89, 180, 18}
{1, 2, 1.364351254*^9, 140.3721875, 394.61609953703703, 0., 254.20224537037038, 27, 58, 0, 2, 0, 4, 0, 2, 9, 87, 648, 133, 916, 1}
{2, 8, 235.98805555555555, 805.4045833333333, 0., 569.3748611111112, 39, 265, 0, 2, 15, 46, 0, 2, 16, 145, 3220, 277, 5798, 5}
{6, 12, 360.70098379629627, 754.754988425926, 0., 394.0540046296296, 692, 911, 0, 2, 14, 25, 0, 1, 26, 2385, 5407, 3671, 14317, 2}
{3, 6, 16.255046296296296, 593.5390046296296, 0., 577.2422916666667, 51, 113, 0, 4, 13, 28, 0, 2, 13, 167, 482, 263, 768, 3}
{2, 6, 33.07877314814815, 889.394525462963, 33.07877314814815, 889.394525462963, 29, 32, 29, 32, 1, 3, 1, 3, 1, 31, 40, 233, 248, 4}
{1, 3, 226.69643518518518, 943.0909953703704, 186.81684027777777, 903.211400462963, 28, 95, 1, 4, 14, 25, 0, 2, 14, 391, 631, 775, 1349, 7}
{1, 4, 0., 631.2980671296297, 0., 631.2980671296297, 0, 18, 0, 13, 0, 4, 0, 2, 0, 0, 43, 0, 59, 22}
{2, 6, 223.25028935185185, 1113.5486342592592, 0., 890.2566782407407, 30, 804, 0, 1, 22, 130, 0, 2, 11, 264, 6182, 686, 11530, 2}
{1, 2, 231.89599537037037, 775.9621875, 0., 544.024525462963, 0, 119, 0, 2, 2, 17, 0, 2, 2, 6, 525, 18, 767, 5}
{2, 6, 437.8070486111111, 1338.4694444444444, 0., 900.6207291666667, 280, 985, 0, 1, 80, 111, 0, 1, 74, 4181, 8572, 9589, 16240, 3}
{1, 3, 132.0101273148148, 590.2431481481482, 42.84197916666667, 501.075, 60, 71, 2, 13, 15, 20, 0, 2, 28, 260, 331, 386, 481, 1}
{2, 10, 510.2854976851852, 1005.5710300925925, 0., 495.2438657407407, 0, 999, 0, 0, 157, 313, 0, 1, 54, 1407, 23982, 2949, 115124, 5}
{4, 5, 310.10538194444445, 850.4918402777778, 117.80335648148149, 658.1898148148148, 0, 1000, 0, 0, 108, 227, 2, 3, 30, 740, 7774, 1982, 22114, 1}
{1, 2, 1.360853861*^9, 1027.5001041666667, 1323.664849537037, 0., 296.1647453703704, 540, 1000, 0, 5, 77, 117, 0, 1, 37, 5230, 8003, 9766, 14477, 9}
{4, 18, 276.86686342592594, 779.5213194444444, 0., 502.61278935185186, 1, 6, 0, 5, 0, 3, 0, 2, 1, 3, 55, 3, 63, 13}
{0, 2, 1.340909908*^9, 265.58157407407407, 791.1375, 0., 525.5142592592592, 79, 231, 0, 4, 13, 40, 0, 2, 23, 160, 701, 370, 1495, 5}
{4, 6, 0., 741.317349537037, 0., 741.317349537037, 0, 1, 0, 1, 0, 1, 0, 1, 1, 3, 6, 9, 12, 3}
{0, 4, 81.95252314814815, 308.6346875, 0., 226.64049768518518, 103, 755, 0, 5, 2, 15, 0, 2, 14, 278, 1659, 350, 1947, 21}
{0, 3, 1.3396421*^9, 1376.3223958333333, 1916.565185185185, 0., 540.2011226851852, 473, 776, 0, 7, 94, 114, 0, 2, 70, 3858, 5986, 6530, 11018, 8}
{3, 4, 393.64966435185187, 631.0732175925926, 0., 237.3818865740741, 127, 287, 0, 20, 43, 53, 0, 2, 26, 7532, 11605, 32934, 53421, 0}
{3, 11, 577.613136574074, 680.2458680555555, 0., 102.59106481481481, 719, 857, 0, 5, 88, 96, 0, 1, 46, 5841, 7214, 11841, 13838, 3}
{1, 6, 34.716458333333335, 729.1406828703704, 0., 694.424224537037, 14, 15, 0, 1, 0, 2, 0, 2, 2, 507, 510, 721, 726, 2}
{32, 80, 148.0124189814815, 923.6656597222222, 0., 775.611574074074, 17, 34, 0, 17, 2, 4, 0, 1, 2, -39, 74, 235, 494, 57}
{0, 7, 0., 847.4466898148148, 0., 847.4466898148148, 0, 1000, 0, 0, 0, 34, 0, 2, 0, 0, 6465, 0, 10081, 0}
{1, 7, 0., 914.2635763888889, 0., 914.2635763888889, 0, 7, 0, 6, 0, 1, 0, 1, 0, 0, 7, 0, 29, 10}
{2, 4, 34.70552083333333, 868.10625, 0., 833.3590625, 14, 357, 0, 3, 0, 9, 0, 3, 8, 87, 1971, 131, 3193, 0}
{0, 1, 227.53466435185186, 584.165636574074, 0., 356.6309722222222, 13, 137, 0, 0, 1, 10, 0, 1, 9, 167, 720, 203, 1070, 1}
{0, 3, 115.3796875, 706.7292361111112, 0., 591.3078819444445, 123, 208, 0, 3, 7, 9, 0, 1, 16, 546, 774, 818, 1226, 1}
{4, 4, 0., 859.6228935185185, 0., 859.6228935185185, 0, 7, 0, 7, 0, 1, 0, 1, 0, 0, 5, 0, 39, 17}
